,market_id,property_id,num_comps_within_radius,radius_miles,current_listing_price,estimation_local,estimation_global,ape_local,ape_global,latitude,longitude,number_of_bedrooms,number_of_full_baths,number_of_half_baths,living_area_square_feet,age,street_address,estimation_radius,property_details,error
0,31860,40,31.0,5,89000.0,293763.25,243557.859375,2.3007106741573033,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
1,31860,40,32.0,6,89000.0,252124.4375,243557.859375,1.8328588483146067,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
2,31860,40,32.0,7,89000.0,252124.4375,243557.859375,1.8328588483146067,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
3,31860,40,33.0,8,89000.0,257709.59375,243557.859375,1.8956134129213482,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
4,31860,40,33.0,9,89000.0,257709.59375,243557.859375,1.8956134129213482,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
5,31860,40,37.0,10,89000.0,295867.96875,243557.859375,2.3243591994382022,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
6,31860,40,38.0,11,89000.0,292116.78125,243557.859375,2.282211025280899,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
7,31860,40,42.0,12,89000.0,281444.40625,243557.859375,2.1622966994382025,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
8,31860,40,47.0,13,89000.0,207606.921875,243557.859375,1.332662043539326,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
9,31860,40,51.0,14,89000.0,241366.734375,243557.859375,1.711985779494382,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
10,31860,40,52.0,15,89000.0,209675.21875,243557.859375,1.3559013342696629,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
11,31860,40,52.0,16,89000.0,209675.21875,243557.859375,1.3559013342696629,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
12,31860,40,53.0,17,89000.0,218213.59375,243557.859375,1.4518381320224718,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
13,31860,40,53.0,18,89000.0,218213.59375,243557.859375,1.4518381320224718,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
14,31860,40,54.0,19,89000.0,243557.859375,243557.859375,1.7366051615168538,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
15,31860,40,54.0,20,89000.0,243557.859375,243557.859375,1.7366051615168538,1.7366051615168538,44.15422058105469,-94.0393295288086,3.0,2.0,0.0,1028.0,70.0,604 olive ST,,,
16,31860,7,6.0,5,287900.0,529899.9375,369691.875,0.8405694251476207,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
17,31860,7,6.0,6,287900.0,529899.9375,369691.875,0.8405694251476207,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
18,31860,7,6.0,7,287900.0,529899.9375,369691.875,0.8405694251476207,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
19,31860,7,7.0,8,287900.0,536044.6875,369691.875,0.8619127735324765,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
20,31860,7,14.0,9,287900.0,449736.8125,369691.875,0.5621285602639805,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
21,31860,7,20.0,10,287900.0,383355.375,369691.875,0.331557398402223,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
22,31860,7,29.0,11,287900.0,408208.375,369691.875,0.4178825112886419,0.28409821118443906,44.313236,-93.983467,4.0,2.0,0.0,2544.0,22.0,1111 engesser LN,,,
